Number,Name,Size LMS,ProgressUIDPTF,Group,Finished On,Notes
@start,2024-11-01,,,,,
@end,2025-03-31,,,,,
D12,Deduce location and long/lat from caption,M,U,data,,
D9,Import file archives of old videos in aopSync,M,U,data,,
D13,Tidy @location @description with @people ,M,U,data,,
D14,Export for Janet,M,I,data,,"Support rotation,explosure,metadata"
D15,Import from google,L,U,data,,
D16,Import from Apple,M,U,data,,
,,,,,,
M5,Fix Delete album,M,U,albums,,
M7,Fix Merge/Split albums,L,U,albums,,
M8,Fix remove photo from album,M,U,albums,,
M9,Show a slideshow,M,U,albums,,
,,,,,,
E10,Multi-select non-destructive chips with tri-chip,M,U,edit,,
E11,Non-update immediate error message,M,U,edit,,
E12,Manage state with provider,L,U,edit,,
E13,Support rotation,L,F,edit,2024-11-09,
E14,Support exposure adjustment,L,U,edit,,
,,,,,,
V6,Walk thru months with up/down,S,U,view,,
V7,Tidy tiles to avoid overlap,M,U,view,,
V8,Support videos,L,I,view,,
V9,General Search screen,M,U,view,,
V11,Hover hint on yearly grid,M,U,view,,
,,,,,,
,,,,,,
Y1,Apply noise filter to old photo with revert,L,U,Clean,,
,,,,,,
,,,,,,
,Random Notes here,,,,,
,and here,,,,,
